Year Month Day Hour Minute Second V1 V2 I1 I2 P1 P2 SU_MS SU_Stability MS MS_RPM Gen_RPM SU_P_1_target SU_Gen_Start_Counter Relais_state wind_v1 wind_v1_mean wind_v1_cut_out wind_status Battery_full MS_DCDC_PWM Dumpload Short_Break MPPT_MODE MPPT_delta_wind_v1 MPPT_delta_wind_v1_Reason MPPT_DCDC_PWM MPPT_omega_stern MPPT_omega_opt MPPT_kopt*10^6 MPPT_P_2_opt MPPT_delta_P_2 MPPT_delta_Omega Codepoint
2019 04 16 20 52 38 39.883 12.079 Nan -0.173 Nan -2.09 30 0 0 36 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 52 39 39.881 12.079 Nan -0.173 Nan -2.09 30 0 0 32 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 52 42 39.881 12.079 Nan -0.173 Nan -2.09 40 0 0 42 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 52 43 39.878 12.079 Nan -0.171 Nan -2.06 40 0 0 42 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 52 45 39.878 12.078 Nan -0.173 Nan -2.09 50 0 0 40 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 52 46 39.878 12.078 Nan -0.173 Nan -2.09 50 0 0 33 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 52 49 39.316 12.006 Nan -0.575 Nan -6.90 60 0 0 180 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 52 50 39.821 12.061 Nan -0.171 Nan -2.06 60 0 0 180 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 52 51 39.831 12.065 Nan -0.171 Nan -2.06 60 0 0 444 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 52 53 39.844 12.068 Nan -0.171 Nan -2.06 70 0 0 165 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 52 54 39.847 12.069 Nan -0.169 Nan -2.04 70 0 0 117 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
